Tarea,Estado,Propietario,Fecha límite,Notas,instagram,booking
Hotel gallery by 70 ,En curso,,,launi - 3125461252,https://www.instagram.com/hotelgalleryby70/,https://www.booking.com/hotel/co/gallery-by-70.es.html?aid=356980&label=gog235jc-10CAsoMkINZ2FsbGVyeS1ieS03MEgKWANoMogBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC7KfzzgbAAgHSAiQyNGJhNmNkMy0xOGNjLTQ1ODYtYjJjMy1kYzQ0OTBkNWVjNTLYAgHgAgE&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1255053003_398745563_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1255053003_398745563_2_1_0&hpos=1&matching_block_id=1255053003_398745563_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1255053003_398745563_2_1_0__18180864&srepoch=1776079864&srpvid=e86a50f685f306e0&type=total&ucfs=1&
Hotel casa florida 70 ,En curso,,,,https://www.instagram.com/hotelcasaf/,https://www.booking.com/hotel/co/casa-florida-70.es.html?aid=356980&label=gog235jc-10CAsoMkIPY2FzYS1mbG9yaWRhLTcwSApYA2gyiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL9qvPOBsACAdICJGY4MTFjNmFlLTllOGMtNDg3Yi04MDFiLWNlM2RiY2U4ZGFmN9gCAeACAQ&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1237749301_430254739_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1237749301_430254739_2_1_0&hpos=1&matching_block_id=1237749301_430254739_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1237749301_430254739_2_1_0__10984247&srepoch=1776080270&srpvid=00a551bf596108fe&type=total&ucfs=1&
Hotel gran imperio ,En curso,,,3128369410,https://www.instagram.com/hotelgranimperio/,https://www.booking.com/reviews/co/hotel/gran-imperio.es.html
Hotel san juan 70 express,En curso,,,3117034755,https://www.instagram.com/hotelsanjuanexpress/,https://www.booking.com/hotel/co/san-juan-express.es.html?aid=356980&label=gog235jc-10CAsoMkIQc2FuLWp1YW4tZXhwcmVzc0gKWANoMogBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCrbLzzgbAAgHSAiRkMmYwNDQ2My03ODViLTQyOGUtYTdlMi04NTMzOWVkYzA1MDDYAgHgAgE&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1231899801_395157490_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1231899801_395157490_2_1_0&hpos=1&matching_block_id=1231899801_395157490_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1231899801_395157490_2_1_0__7599596&srepoch=1776081210&srpvid=f9b953977fe803a9&type=total&ucfs=1&
Hotel san juan 70 ,En curso,,,,https://www.instagram.com/hotel_sanjuan70/,https://www.booking.com/hotel/co/san-juan-70-medellin.es.html?aid=356980&label=gog235jc-10CAsoMkIUc2FuLWp1YW4tNzAtbWVkZWxsaW5IClgDaDKIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4At-z884GwAIB0gIkNjQ1OTU4M2MtZGYyYS00Mjg3LWE2MDMtMTMyNjgxZjYzYTEz2AIB4AIB&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1208286902_424304076_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1208286902_424304076_2_1_0&hpos=1&matching_block_id=1208286902_424304076_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1208286902_424304076_2_1_0__19305000&srepoch=1776081383&srpvid=00c553f0ec5d0114&type=total&ucfs=1&
Hotel kyros by 70,En curso,,,3225871916,https://www.instagram.com/hotelkyrosby70/,https://www.booking.com/hotel/co/kyros-by-70.es.html?aid=356980&label=gog235jc-10CAsoMkILa3lyb3MtYnktNzBIClgDaDKIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Ata0884GwAIB0gIkYzE4MzlkMjEtM2FhMi00NWVjLWE1ZTQtNmQ4N2RkZDMyODVk2AIB4AIB&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1569949201_428084891_2_0_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1569949201_428084891_2_0_0&hpos=1&matching_block_id=1569949201_428084891_2_0_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1569949201_428084891_2_0_0__7718750&srepoch=1776081523&srpvid=3a59542c42550fe1&type=total&ucfs=1&
Hotel casa kyros boutique,En curso,,,3116401894,https://www.instagram.com/casakyrosboutique/,https://www.booking.com/hotel/co/casa-kyros-coliving.es.html?aid=356980&label=gog235jc-10CAsoMkITY2FzYS1reXJvcy1jb2xpdmluZ0gKWANoMogBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCyrXzzgbAAgHSAiQ2ZjVmODNiNS0yOTdmLTQyZTgtOTExMS02ZThjZTc3MWExMWLYAgHgAgE&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=1454814002_416795407_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=1454814002_416795407_2_1_0&hpos=1&matching_block_id=1454814002_416795407_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1454814002_416795407_2_1_0__11592000&srepoch=1776081620&srpvid=44c25465d64d1056&type=total&ucfs=1&
Hotel aura ,En curso,,,3215604673,https://www.instagram.com/aurahotel_/,https://www.booking.com/hotel/co/aura-medellin-medellin.es.html?aid=356980&label=gog235jc-10CAsoMkIWYXVyYS1tZWRlbGxpbi1tZWRlbGxpbkgKWANoMogBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCwrbzzgbAAgHSAiRiMzhiYTdhNi0yNjNhLTQwNGMtYmJiNC05ZmM4NDdiZGJiMTjYAgHgAgE&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=796854405_364648637_3_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=796854405_364648637_3_1_0&hpos=1&matching_block_id=796854405_364648637_3_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=796854405_364648637_3_1_0__12178251&srepoch=1776081786&srpvid=fd8054a1fa570f87&type=total&ucfs=1&
Hotel jardin de laureles,En curso,,,3224328160,https://www.instagram.com/hoteljardindelaureles1/,https://www.booking.com/hotel/co/jardin-de-laureles.es.html?aid=356980&label=gog235jc-10CAsoMkISamFyZGluLWRlLWxhdXJlbGVzSApYA2gyiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALmt_POBsACAdICJDFhMzExZjkxLTA3NTctNDEyNi1hNDk2LTZiZjU5MmQ3ZWMzNtgCAeACAQ&sid=6721c5cd137177cb217f8e66b2095a48&age=0&all_sr_blocks=185471202_428149655_2_1_0&checkin=2026-04-13&checkout=2026-04-14&dest_id=-592318&dest_type=city&dist=0&group_adults=2&group_children=1&hapos=1&highlighted_blocks=185471202_428149655_2_1_0&hpos=1&matching_block_id=185471202_428149655_2_1_0&no_rooms=1&req_adults=2&req_age=0&req_children=1&room1=A%2CA%2C0&sb_price_type=total&sr_order=popularity&sr_pri_blocks=185471202_428149655_2_1_0__15863720&srepoch=1776081901&srpvid=52a954f4f4041303&type=total&ucfs=1&
Hotel distrito unicentro,En curso,,,,,
